lifelib r2b000008s03ff00 R2,C2,S9-18,B4    comment1
lifelib r2b0001c0s0001e0 R2,C2,S6-9,B7-9
lifelib r2b0000c0s0001e0 R2,C2,S6-9,B7-8
lifelib r2b0000c0s0001f0 R2,C2,S5-9,B7-8
lifelib r2b0000c0s0001f0 R2,C2,S5-9,B7-8
lifelib r2b000008s03ff00 R2,C2,S9-18,B4    comment1
lifelib r2b0001c0s0001e0 R2,C2,S6-9,B7-9
lifelib r2b0000c0s0001e0 R2,C2,S6-9,B7-8
lifelib r2b0000c0s0001f0 R2,C2,S5-9,B7-8
lifelib r2b0000c0s0001f0 R2,C2,S5-9,B7-8
lifelib r2ba33640s7999e0 R2,C2,S6-9,12,13,16,17,20-23,B7,10,11,13,14,17,18,22,24,NM
lifelib r2b047640scba1e0 R2,C2,S6-9,14,16-18,20,23,24,B7,10,11,13-15,19,NM
lifelib r2b1ce640s4ea9e0 R2,C2,S6-9,12,14,16,18-20,23,B7,10,11,14-16,19-21,NM
